Data,ALR,CDR,DNP,JSW
2024-01-02,73.0,111.9,457.7,41.29
2024-01-03,74.68,111.65,456.3,40.86
2024-01-04,74.18,112.25,453.4,40.8
2024-01-05,74.5,111.1,451.5,40.78
2024-01-08,75.38,110.25,450.7,40.14
2024-01-09,75.04,111.45,451.0,40.16
2024-01-10,73.32,111.2,459.9,39.33
2024-01-11,70.42,107.6,463.8,39.27
2024-01-12,71.5,108.0,409.2,40.35
2024-01-15,70.52,106.65,414.9,39.16
2024-01-16,70.5,105.0,419.9,39.51
2024-01-17,68.88,100.0,408.1,37.62
2024-01-18,71.02,99.9,411.4,37.8
2024-01-19,69.82,99.2,414.2,37.99
2024-01-22,70.9,101.55,410.0,38.2
2024-01-23,70.48,103.75,415.9,41.71
2024-01-24,71.56,105.5,419.0,42.8
2024-01-25,72.0,106.35,423.1,42.2
2024-01-26,72.7,105.15,425.4,42.98
2024-01-29,71.86,105.0,425.6,43.4
2024-01-30,73.18,103.8,426.6,42.76
