Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Symbol,Brak danych
2023-01-02,34.27,34.94,34.01,34.7,111345.0,ALR,
2023-01-03,34.94,39.69,34.7,38.39,879020.0,ALR,
2023-01-04,38.39,41.21,38.3,41.05,577490.0,ALR,
2023-01-05,40.9,42.23,40.36,41.72,681003.0,ALR,
2023-01-09,42.1,43.4,42.1,42.95,427424.0,ALR,
2023-01-10,42.8,43.7,42.2,43.48,234809.0,ALR,
2023-01-11,43.58,44.22,41.69,41.71,323485.0,ALR,
2023-01-12,41.8,43.21,41.6,42.42,282303.0,ALR,
2023-01-13,42.3,42.84,42.0,42.09,211169.0,ALR,
2023-01-16,41.9,42.7,41.7,42.44,237092.0,ALR,
2023-01-17,42.6,42.7,41.5,42.0,165080.0,ALR,
2023-01-18,42.0,42.28,40.75,40.75,211022.0,ALR,
2023-01-19,40.2,40.6,38.8,39.76,354227.0,ALR,
2023-01-20,40.19,40.67,39.02,40.52,282391.0,ALR,
2023-01-23,40.72,40.98,39.77,40.54,129437.0,ALR,
2023-01-24,40.7,41.12,39.94,40.31,180586.0,ALR,
2023-01-25,39.8,39.8,37.7,38.49,444689.0,ALR,
2023-01-26,38.8,39.43,37.53,38.8,270129.0,ALR,
2023-01-27,39.2,39.2,38.5,38.8,123664.0,ALR,
2023-01-30,38.49,38.49,37.04,37.06,237638.0,ALR,
2023-01-31,37.2,39.27,37.2,39.19,342393.0,ALR,
2023-02-01,39.2,40.18,38.4,39.25,473271.0,ALR,
2023-02-02,40.0,40.98,39.49,39.81,321632.0,ALR,
2023-02-03,39.96,40.62,39.41,40.2,143719.0,ALR,
2023-02-06,40.0,40.31,39.0,39.1,146531.0,ALR,
2023-02-07,39.01,39.5,38.52,39.09,115121.0,ALR,
2023-02-08,39.53,39.62,38.71,38.94,131857.0,ALR,
2023-02-09,39.2,41.22,39.08,40.53,291963.0,ALR,
2023-02-10,40.0,40.17,38.42,38.87,253560.0,ALR,
2023-02-13,38.8,39.48,38.47,38.8,106690.0,ALR,
2023-02-14,39.0,40.0,38.88,39.37,137055.0,ALR,
2023-02-15,39.4,39.98,39.07,39.52,130274.0,ALR,
2023-02-16,39.64,40.89,38.09,40.8,369297.0,ALR,
2023-02-17,40.05,40.51,39.56,39.84,97717.0,ALR,
2023-02-20,39.7,39.74,38.95,39.46,175892.0,ALR,
2023-02-21,39.7,39.7,38.47,39.0,184413.0,ALR,
2023-02-22,38.58,38.89,37.8,38.5,152309.0,ALR,
2023-02-23,38.22,39.14,38.22,39.07,80458.0,ALR,
2023-02-24,39.25,39.9,39.01,39.72,186242.0,ALR,
2023-02-27,39.7,39.9,39.17,39.82,70096.0,ALR,
2023-02-28,39.8,41.35,39.5,40.61,228426.0,ALR,
2023-03-01,40.9,41.42,40.25,40.25,111639.0,ALR,
2023-03-02,40.1,40.1,39.38,39.6,222680.0,ALR,
2023-03-03,40.1,40.54,39.1,39.5,312890.0,ALR,
2023-03-06,39.8,40.74,39.8,40.48,222230.0,ALR,
2023-03-07,40.48,41.9,40.3,41.02,283967.0,ALR,
2023-03-08,40.94,42.02,40.6,41.75,201827.0,ALR,
2023-03-09,42.1,42.1,41.0,41.0,145660.0,ALR,
2023-03-10,40.19,40.19,38.8,39.34,324874.0,ALR,
2023-03-13,39.26,39.95,36.89,38.5,478078.0,ALR,
2023-03-14,38.2,39.54,37.8,39.02,221680.0,ALR,
2023-03-15,39.01,39.5,36.25,36.88,405044.0,ALR,
2023-03-16,37.2,37.79,35.64,36.66,409900.0,ALR,
2023-03-17,37.54,37.6,33.9,34.4,1547497.0,ALR,
2023-03-20,34.2,34.25,31.98,33.93,692572.0,ALR,
2023-03-21,34.4,35.26,34.2,34.7,380936.0,ALR,
2023-03-22,35.19,35.19,33.92,34.29,367285.0,ALR,
2023-03-23,34.19,34.67,33.15,34.46,266064.0,ALR,
2023-03-24,35.05,35.13,33.58,34.11,232148.0,ALR,
2023-03-27,34.19,35.77,34.0,35.7,374013.0,ALR,
2023-03-28,36.0,36.96,35.82,36.86,273102.0,ALR,
2023-03-29,37.15,38.1,36.65,37.84,260321.0,ALR,
2023-03-30,38.15,38.8,37.63,38.57,204899.0,ALR,
2023-03-31,38.79,39.19,38.22,38.75,195576.0,ALR,
2023-04-03,39.09,39.79,38.81,39.3,167465.0,ALR,
2023-04-04,39.67,40.69,39.6,40.23,364444.0,ALR,
2023-04-05,40.03,40.03,38.72,38.94,389307.0,ALR,
2023-04-06,39.15,39.35,38.73,39.13,183431.0,ALR,
2023-04-11,39.39,41.2,39.39,41.06,295867.0,ALR,
2023-04-12,40.81,42.47,40.64,42.3,460238.0,ALR,
2023-04-13,42.48,44.44,42.09,44.24,637831.0,ALR,
2023-04-14,44.49,45.32,43.8,45.1,407683.0,ALR,
2023-04-17,45.1,45.57,44.8,45.42,203360.0,ALR,
2023-04-18,45.13,46.3,44.66,45.25,452680.0,ALR,
2023-04-19,45.05,45.48,43.62,44.94,376193.0,ALR,
2023-04-20,44.94,46.48,44.16,45.08,273275.0,ALR,
2023-04-21,45.0,45.94,44.48,45.73,181517.0,ALR,
2023-04-24,45.61,45.76,44.78,45.04,112859.0,ALR,
2023-04-25,45.04,45.49,44.16,44.63,180189.0,ALR,
2023-04-26,44.65,45.02,41.22,43.6,319928.0,ALR,
2023-04-27,43.3,44.96,43.25,44.7,206761.0,ALR,
2023-04-28,45.0,45.1,43.12,43.4,293811.0,ALR,
2023-05-02,43.5,44.9,42.72,42.83,228391.0,ALR,
2023-05-04,43.2,43.96,41.37,41.63,378889.0,ALR,
2023-05-05,41.67,42.45,41.67,42.32,297020.0,ALR,
2023-05-08,42.25,42.9,42.16,42.35,441124.0,ALR,
2023-05-09,42.65,42.65,41.68,42.0,195291.0,ALR,
2023-05-10,42.5,43.38,41.85,42.82,211412.0,ALR,
2023-05-11,42.82,43.51,42.24,42.77,320160.0,ALR,
2023-05-12,43.0,43.91,42.75,43.4,173092.0,ALR,
2023-05-15,43.33,43.48,41.85,42.22,206636.0,ALR,
2023-05-16,42.34,42.94,42.01,42.3,79529.0,ALR,
2023-05-17,42.3,42.4,41.72,41.93,81310.0,ALR,
2023-05-18,42.03,42.75,42.03,42.4,122944.0,ALR,
2023-05-19,42.92,44.61,42.15,43.6,297906.0,ALR,
2023-05-22,43.8,44.82,43.4,43.9,202703.0,ALR,
2023-05-23,44.0,44.5,43.73,44.23,147913.0,ALR,
2023-05-24,43.78,43.88,42.6,42.77,152010.0,ALR,
2023-05-25,43.3,43.6,42.4,43.53,129658.0,ALR,
2023-05-26,43.7,44.5,43.15,44.28,196106.0,ALR,
2023-05-29,44.11,44.28,43.43,43.6,79277.0,ALR,
2023-05-30,43.61,43.63,42.3,42.42,150892.0,ALR,
2023-05-31,42.0,42.04,40.29,40.43,567852.0,ALR,
2023-06-01,40.6,41.86,40.1,41.59,208408.0,ALR,
2023-06-02,42.09,44.49,41.91,44.49,444260.0,ALR,
2023-06-05,44.49,45.0,44.02,44.48,320583.0,ALR,
2023-06-06,44.49,46.8,44.06,46.45,584911.0,ALR,
2023-06-07,46.45,46.68,44.83,45.1,228484.0,ALR,
2023-06-09,45.99,46.0,45.15,45.55,105250.0,ALR,
2023-06-12,45.99,45.99,44.44,44.44,142929.0,ALR,
2023-06-13,44.48,44.95,43.3,43.4,150186.0,ALR,
2023-06-14,43.3,46.1,43.3,45.22,345980.0,ALR,
2023-06-15,45.0,45.85,43.71,45.45,293856.0,ALR,
2023-06-16,45.65,47.01,44.0,45.92,613946.0,ALR,
2023-06-19,45.92,47.58,45.61,46.07,152956.0,ALR,
2023-06-20,46.1,46.95,45.76,45.87,116313.0,ALR,
2023-06-21,45.8,47.44,45.71,47.14,120605.0,ALR,
2023-06-22,47.0,47.48,46.51,47.02,127601.0,ALR,
2023-06-23,46.9,46.9,45.3,45.3,153553.0,ALR,
2023-06-26,45.06,47.5,44.43,47.33,284326.0,ALR,
2023-06-27,47.33,48.9,46.85,47.02,324193.0,ALR,
2023-06-28,47.28,48.18,47.04,47.3,160202.0,ALR,
2023-06-29,47.5,47.8,47.11,47.32,145375.0,ALR,
2023-06-30,47.37,48.9,47.37,48.36,289227.0,ALR,
2023-07-03,48.61,50.6,48.6,50.24,483859.0,ALR,
2023-07-04,50.4,50.68,49.33,49.5,186492.0,ALR,
2023-07-05,49.39,49.45,48.01,48.01,171112.0,ALR,
